"Date","Price","Open","High","Low","Vol.","Change %"
"11/07/2023","1,404.30","1,400.00","1,405.90","1,394.85","2.27M","0.07%"
"11/06/2023","1,403.30","1,393.90","1,407.25","1,390.80","2.74M","1.03%"
"11/03/2023","1,389.05","1,380.05","1,392.00","1,377.75","3.35M","1.38%"
"11/02/2023","1,370.15","1,370.00","1,376.30","1,361.65","3.76M","1.18%"
"11/01/2023","1,354.15","1,373.05","1,377.45","1,351.65","3.09M","-1.04%"
"10/31/2023","1,368.40","1,379.95","1,381.15","1,363.00","3.45M","-0.63%"
"10/30/2023","1,377.05","1,380.35","1,380.35","1,363.10","2.67M","-0.24%"
"10/27/2023","1,380.35","1,363.65","1,385.00","1,363.65","4.63M","1.54%"
"10/26/2023","1,359.45","1,355.05","1,374.00","1,353.10","6.36M","-0.77%"
"10/25/2023","1,370.05","1,399.00","1,402.55","1,361.30","6.94M","-2.74%"
"10/23/2023","1,408.65","1,425.60","1,432.35","1,405.25","2.64M","-1.30%"
"10/20/2023","1,427.25","1,430.00","1,438.50","1,425.25","3.93M","-0.45%"
"10/19/2023","1,433.65","1,426.10","1,439.65","1,426.10","6.80M","-0.48%"
"10/18/2023","1,440.55","1,442.00","1,454.00","1,438.35","4.26M","-0.13%"
"10/17/2023","1,442.45","1,440.25","1,453.35","1,438.05","3.92M","0.58%"
"10/16/2023","1,434.15","1,432.10","1,443.60","1,430.00","4.85M","0.21%"
"10/13/2023","1,431.15","1,405.00","1,438.00","1,400.00","17.97M","-2.34%"
"10/12/2023","1,465.50","1,491.90","1,504.40","1,452.00","11.08M","-1.93%"
"10/11/2023","1,494.40","1,497.00","1,518.25","1,481.45","7.22M","-0.05%"
"10/10/2023","1,495.15","1,483.90","1,497.00","1,469.10","5.69M","1.34%"
"10/09/2023","1,475.45","1,464.90","1,491.00","1,462.20","3.57M","-0.22%"
"10/06/2023","1,478.70","1,469.50","1,484.50","1,463.30","3.60M","1.04%"
"10/05/2023","1,463.45","1,452.00","1,475.65","1,450.20","7.38M","1.32%"
"10/04/2023","1,444.35","1,425.00","1,449.95","1,418.20","4.51M","0.72%"
"10/03/2023","1,434.00","1,436.05","1,437.00","1,420.30","4.18M","-0.10%"
"09/29/2023","1,435.45","1,432.10","1,446.80","1,416.00","6.07M","-0.28%"
"09/28/2023","1,439.45","1,467.90","1,472.60","1,435.00","5.81M","-1.88%"
"09/27/2023","1,467.00","1,456.00","1,469.60","1,450.05","3.86M","0.43%"
"09/26/2023","1,460.65","1,479.15","1,479.90","1,459.00","4.00M","-0.92%"
"09/25/2023","1,474.15","1,489.85","1,489.85","1,471.55","4.22M","-1.47%"
"09/22/2023","1,496.15","1,491.90","1,506.95","1,485.20","5.46M","-0.37%"
"09/21/2023","1,501.75","1,486.55","1,504.55","1,476.00","6.78M","0.77%"
"09/20/2023","1,490.25","1,476.20","1,495.10","1,476.20","4.17M","-0.10%"
"09/18/2023","1,491.80","1,504.90","1,504.90","1,488.00","3.99M","-1.31%"
"09/15/2023","1,511.60","1,518.00","1,518.40","1,509.00","8.66M","0.31%"
"09/14/2023","1,506.95","1,505.00","1,512.55","1,499.15","6.44M","0.57%"
"09/13/2023","1,498.35","1,505.00","1,505.00","1,488.65","4.80M","-0.18%"
"09/12/2023","1,501.10","1,482.50","1,504.00","1,477.10","6.79M","1.67%"
"09/11/2023","1,476.45","1,469.60","1,478.05","1,464.50","4.18M","0.47%"
"09/08/2023","1,469.60","1,463.50","1,474.75","1,460.20","3.13M","0.23%"
"09/07/2023","1,466.20","1,470.60","1,473.40","1,462.05","4.41M","-0.76%"
"09/06/2023","1,477.45","1,481.90","1,482.90","1,463.30","5.08M","-0.10%"
"09/05/2023","1,478.90","1,465.00","1,480.05","1,456.50","5.50M","0.94%"
"09/04/2023","1,465.10","1,443.00","1,470.00","1,434.70","4.61M","1.47%"
"09/01/2023","1,443.85","1,430.95","1,446.00","1,428.20","3.58M","0.59%"
"08/31/2023","1,435.45","1,435.15","1,444.90","1,428.65","9.79M","0.02%"
"08/30/2023","1,435.15","1,427.00","1,436.65","1,424.00","3.07M","1.23%"
"08/29/2023","1,417.65","1,424.00","1,424.40","1,415.30","3.07M","0.14%"
"08/28/2023","1,415.65","1,420.10","1,424.80","1,411.40","3.13M","-0.31%"
"08/25/2023","1,420.10","1,413.00","1,422.50","1,411.40","4.31M","-0.25%"
"08/24/2023","1,423.60","1,421.50","1,425.05","1,414.45","5.17M","1.11%"
"08/23/2023","1,407.95","1,416.00","1,416.60","1,405.65","2.56M","0.30%"
"08/22/2023","1,403.75","1,404.70","1,406.05","1,396.65","2.89M","-0.12%"
"08/21/2023","1,405.40","1,389.75","1,407.00","1,387.15","3.03M","1.20%"
"08/18/2023","1,388.80","1,403.70","1,408.70","1,386.15","5.13M","-1.61%"
"08/17/2023","1,411.55","1,420.00","1,420.00","1,406.00","5.62M","-0.49%"
"08/16/2023","1,418.50","1,410.80","1,419.95","1,405.40","7.74M","1.79%"
"08/14/2023","1,393.55","1,371.85","1,395.00","1,365.60","4.30M","1.58%"
"08/11/2023","1,371.85","1,392.00","1,396.85","1,367.05","5.78M","-1.24%"
"08/10/2023","1,389.10","1,391.60","1,395.80","1,385.60","3.87M","-0.38%"
"08/09/2023","1,394.40","1,384.00","1,396.00","1,382.50","4.09M","0.30%"
"08/08/2023","1,390.20","1,392.85","1,393.55","1,384.40","4.16M","-0.20%"
"08/07/2023","1,393.00","1,387.90","1,395.00","1,377.00","3.73M","1.06%"
"08/04/2023","1,378.35","1,368.90","1,385.90","1,362.00","5.71M","1.03%"
"08/03/2023","1,364.30","1,350.00","1,366.55","1,349.00","6.50M","0.55%"
"08/02/2023","1,356.85","1,369.30","1,371.95","1,348.45","7.42M","-0.61%"
